/home/akshay/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 9010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
global_step=356000, episodic_return=[782.9779]
SPS: 1188
global_step=357000, episodic_return=[1979.5355]
global_step=358000, episodic_return=[1213.5344]
SPS: 1188
global_step=359000, episodic_return=[459.8736]
global_step=360000, episodic_return=[1960.1786]
SPS: 1187
global_step=361000, episodic_return=[2239.7964]
global_step=362000, episodic_return=[2178.634]
SPS: 1187
global_step=363000, episodic_return=[865.3411]
global_step=364000, episodic_return=[513.58026]
SPS: 1188
global_step=365000, episodic_return=[1970.4834]
global_step=366000, episodic_return=[2049.0857]
SPS: 1186
global_step=367000, episodic_return=[2109.4946]
global_step=368000, episodic_return=[2056.3093]
SPS: 1186
global_step=369000, episodic_return=[2065.295]
global_step=370000, episodic_return=[1613.987]
SPS: 1187
global_step=371000, episodic_return=[1649.5737]
global_step=372000, episodic_return=[1949.2294]
SPS: 1187
global_step=373000, episodic_return=[1578.3782]
global_step=374000, episodic_return=[2071.1294]
SPS: 1186
global_step=375000, episodic_return=[400.62604]
global_step=376000, episodic_return=[1414.5203]
SPS: 1187
global_step=377000, episodic_return=[1771.3113]
global_step=378000, episodic_return=[1959.5264]
SPS: 1187
global_step=379000, episodic_return=[1851.038]
global_step=380000, episodic_return=[636.9665]
SPS: 1187
global_step=381000, episodic_return=[2109.649]
global_step=382000, episodic_return=[663.8323]
SPS: 1186
global_step=383000, episodic_return=[2180.0818]
global_step=384000, episodic_return=[2238.326]
global_step=385000, episodic_return=[913.31085]
SPS: 1187
global_step=386000, episodic_return=[2011.2152]
global_step=387000, episodic_return=[2122.8718]
SPS: 1187
global_step=388000, episodic_return=[2162.799]
global_step=389000, episodic_return=[2450.7468]
SPS: 1185
global_step=390000, episodic_return=[1902.5431]
global_step=391000, episodic_return=[2041.6383]
SPS: 1186
global_step=392000, episodic_return=[703.5087]
global_step=393000, episodic_return=[2100.9106]
SPS: 1186
global_step=394000, episodic_return=[2115.8762]
global_step=395000, episodic_return=[2084.6821]
SPS: 1186
global_step=396000, episodic_return=[2062.909]
global_step=397000, episodic_return=[1332.0377]
SPS: 1185
global_step=398000, episodic_return=[2283.2964]
global_step=399000, episodic_return=[2187.776]
SPS: 1185
global_step=400000, episodic_return=[1337.4264]
global_step=401000, episodic_return=[2021.7919]
SPS: 1186
global_step=402000, episodic_return=[2013.9697]
global_step=403000, episodic_return=[805.95044]
SPS: 1185
global_step=404000, episodic_return=[839.3568]
global_step=405000, episodic_return=[935.6138]
SPS: 1185
global_step=406000, episodic_return=[2331.9465]
global_step=407000, episodic_return=[2252.4453]
SPS: 1185
global_step=408000, episodic_return=[581.8273]
global_step=409000, episodic_return=[461.0971]
SPS: 1186
global_step=410000, episodic_return=[651.89594]
global_step=411000, episodic_return=[2035.3689]
SPS: 1184
global_step=412000, episodic_return=[2261.141]
global_step=413000, episodic_return=[754.26227]
SPS: 1184
global_step=414000, episodic_return=[1651.7749]
global_step=415000, episodic_return=[1092.934]
SPS: 1184
global_step=416000, episodic_return=[2264.1401]
global_step=417000, episodic_return=[499.22772]
SPS: 1185
global_step=418000, episodic_return=[915.09894]
global_step=419000, episodic_return=[2082.2422]
SPS: 1184
global_step=420000, episodic_return=[2247.5896]
global_step=421000, episodic_return=[858.9128]
SPS: 1185
global_step=422000, episodic_return=[2283.2947]
global_step=423000, episodic_return=[2159.855]
SPS: 1185
global_step=424000, episodic_return=[2238.2212]
global_step=425000, episodic_return=[2088.5237]
SPS: 1184
global_step=426000, episodic_return=[2316.4163]
global_step=427000, episodic_return=[2145.0332]
global_step=428000, episodic_return=[1832.8878]
SPS: 1184
global_step=429000, episodic_return=[601.84607]
global_step=430000, episodic_return=[1850.9302]
SPS: 1184
global_step=431000, episodic_return=[717.6802]
global_step=432000, episodic_return=[1862.6722]
SPS: 1184
global_step=433000, episodic_return=[2317.1614]
global_step=434000, episodic_return=[2254.4202]
SPS: 1183
global_step=435000, episodic_return=[2104.4033]
global_step=436000, episodic_return=[2335.882]
SPS: 1184
global_step=437000, episodic_return=[2300.7756]
global_step=438000, episodic_return=[2324.2017]
SPS: 1184
global_step=439000, episodic_return=[2006.9016]
global_step=440000, episodic_return=[2461.0981]
SPS: 1184
global_step=441000, episodic_return=[1603.3407]
global_step=442000, episodic_return=[2328.8174]
SPS: 1183
global_step=443000, episodic_return=[2419.6128]
global_step=444000, episodic_return=[1778.6017]
SPS: 1184
global_step=445000, episodic_return=[2418.8926]
global_step=446000, episodic_return=[2478.74]
SPS: 1184
global_step=447000, episodic_return=[2242.0923]
global_step=448000, episodic_return=[2156.2542]
SPS: 1182
global_step=449000, episodic_return=[2485.0564]
global_step=450000, episodic_return=[2452.5469]
SPS: 1183
global_step=451000, episodic_return=[2252.9507]
global_step=452000, episodic_return=[2264.0098]
SPS: 1183
global_step=453000, episodic_return=[2365.499]
global_step=454000, episodic_return=[2254.7021]
SPS: 1184
global_step=455000, episodic_return=[2392.6833]
global_step=456000, episodic_return=[1077.9585]
SPS: 1183
global_step=457000, episodic_return=[2550.6753]
global_step=458000, episodic_return=[2228.7317]
SPS: 1183
global_step=459000, episodic_return=[924.22876]
global_step=460000, episodic_return=[2336.797]
SPS: 1183
global_step=461000, episodic_return=[2505.3389]
global_step=462000, episodic_return=[2523.0115]
SPS: 1184
global_step=463000, episodic_return=[2374.6487]
global_step=464000, episodic_return=[2209.127]
SPS: 1183
global_step=465000, episodic_return=[1407.7393]
global_step=466000, episodic_return=[2519.4456]
SPS: 1183
global_step=467000, episodic_return=[770.4188]
global_step=468000, episodic_return=[2119.9573]
SPS: 1184
global_step=469000, episodic_return=[2313.938]
global_step=470000, episodic_return=[2444.0352]
global_step=471000, episodic_return=[2517.7441]
SPS: 1184
global_step=472000, episodic_return=[1396.7125]
global_step=473000, episodic_return=[762.32666]
SPS: 1183
global_step=474000, episodic_return=[2498.53]
global_step=475000, episodic_return=[2516.163]
SPS: 1184
global_step=476000, episodic_return=[587.32446]
global_step=477000, episodic_return=[2393.5266]
SPS: 1184
global_step=478000, episodic_return=[2256.6853]
global_step=479000, episodic_return=[2570.9666]
SPS: 1182
global_step=480000, episodic_return=[2461.8462]
global_step=481000, episodic_return=[464.29608]
SPS: 1182
global_step=482000, episodic_return=[2356.283]
global_step=483000, episodic_return=[661.21216]
SPS: 1182
global_step=484000, episodic_return=[1238.0244]
global_step=485000, episodic_return=[2794.7275]
SPS: 1183
global_step=486000, episodic_return=[2627.0862]
global_step=487000, episodic_return=[2440.891]
SPS: 1182
global_step=488000, episodic_return=[2332.949]
global_step=489000, episodic_return=[2370.5547]
SPS: 1183
global_step=490000, episodic_return=[1546.9778]
global_step=491000, episodic_return=[921.96216]
SPS: 1183
global_step=492000, episodic_return=[2417.6199]
global_step=493000, episodic_return=[2649.1455]
SPS: 1183
global_step=494000, episodic_return=[2591.4036]
global_step=495000, episodic_return=[2630.936]
SPS: 1183
global_step=496000, episodic_return=[2643.052]
global_step=497000, episodic_return=[2449.7625]
SPS: 1183
global_step=498000, episodic_return=[2629.497]
global_step=499000, episodic_return=[2650.6838]
SPS: 1184
global_step=500000, episodic_return=[1265.0629]
global_step=501000, episodic_return=[2539.4207]
SPS: 1184
global_step=502000, episodic_return=[1146.9196]
global_step=503000, episodic_return=[2721.704]
SPS: 1183
global_step=504000, episodic_return=[837.26434]
global_step=505000, episodic_return=[790.0183]
SPS: 1184
global_step=506000, episodic_return=[2536.448]
global_step=507000, episodic_return=[2640.2876]
SPS: 1184
global_step=508000, episodic_return=[2730.7922]
global_step=509000, episodic_return=[1561.0377]
SPS: 1183
global_step=510000, episodic_return=[2598.5664]
global_step=511000, episodic_return=[2341.0112]
global_step=512000, episodic_return=[2194.4436]
SPS: 1183
global_step=513000, episodic_return=[2708.9744]
global_step=514000, episodic_return=[1419.8964]
SPS: 1183
global_step=515000, episodic_return=[2534.5835]
global_step=516000, episodic_return=[703.5966]
SPS: 1183
global_step=517000, episodic_return=[2610.2275]
global_step=518000, episodic_return=[2698.7007]
SPS: 1183
global_step=519000, episodic_return=[1319.7476]
global_step=520000, episodic_return=[1262.2743]
SPS: 1183
global_step=521000, episodic_return=[2802.6628]
global_step=522000, episodic_return=[2802.8972]
SPS: 1184
global_step=523000, episodic_return=[2757.6963]
global_step=524000, episodic_return=[2687.7302]
SPS: 1184
global_step=525000, episodic_return=[2635.752]
global_step=526000, episodic_return=[2535.0815]
SPS: 1183
global_step=527000, episodic_return=[2552.9397]
